year;currency;source;Commodity;Type_urbs;Type_evrys;price;max;maxperhour;annual;losses
2016_old;USD;SUTD assumptions;CO2;Env;ENV;0;inf;inf;inf;0
2016_old;USD;SUTD assumptions;Coal;Stock;SUP-Stock;5;inf;inf;inf;0
2016_old;USD;SUTD assumptions;Elec;Demand;DEM;;;;;0
2016_old;USD;SUTD assumptions;Gas;Stock;SUP-Stock;5,85;inf;inf;inf;0
2016_old;USD;SUTD assumptions;Oil;Stock;SUP-Stock;8;inf;inf;inf;0
2016_old;USD;SUTD assumptions;Slack;Stock;SUP-Stock;999;inf;inf;inf;0
2016_old;USD;SUTD assumptions;Solar;SupIm;SUP-Intermittent;0;inf;inf;1;0
2016_old;USD;SUTD assumptions;Waste;Stock;SUP-Stock;3,02;inf;inf;inf;0
2016_old;USD;SUTD assumptions;WindOn;SupIm;SUP-Intermittent;0;inf;inf;1;0
2016_old;USD;SUTD assumptions;Bioenergy;Stock;SUP-Stock;3,02;inf;inf;inf;0
2016_old;USD;SUTD assumptions;Hydro;SupIm;SUP-Intermittent;0;inf;inf;;0
2016;USD;;CO2;Env;ENV;0;inf;inf;inf;0
2016;USD;Approx cost from WEO 2019, heat rate from https://www.world-nuclear.org/information-library/facts-and-figures/heat-values-of-various-fuels.aspx;Coal;Stock;SUP-Stock;16,5;inf;inf;inf;0
2016;USD;;Elec;Demand;DEM;;;;;0
2016;USD;Approx cost from WEO 2019;Gas;Stock;SUP-Stock;30,71;inf;inf;inf;0
2016;USD;Approx cost from WEO 2019;Oil;Stock;SUP-Stock;40;inf;inf;inf;0
2016;USD;;Slack;Stock;SUP-Stock;999;inf;inf;inf;0
2016;USD;;Solar;SupIm;SUP-Intermittent;0;inf;inf;1;0
2016;USD;SUTD assumptions;Waste_heat;Stock;SUP-Stock;3,02;inf;inf;inf;0
2016;USD;;WindOn;SupIm;SUP-Intermittent;0;inf;inf;1;0
2016;USD;ASEAN LCOE report p.68, 60% moisture content, https://www.world-nuclear.org/information-library/facts-and-figures/heat-values-of-various-fuels.aspx;Bioenergy;Stock;SUP-Stock;10,02;inf;inf;inf;0
2016;USD;;Hydro;SupIm;SUP-Intermittent;0;inf;inf;;0
2020;USD;;CO2;Env;ENV;0;inf;inf;inf;0
2020;USD;Approx cost from WEO 2019, heat rate from https://www.world-nuclear.org/information-library/facts-and-figures/heat-values-of-various-fuels.aspx;Coal;Stock;SUP-Stock;15;inf;inf;inf;0
2020;USD;;Elec;Demand;DEM;;;;;0
2020;USD;Approx cost from WEO 2019;Gas;Stock;SUP-Stock;30,71;inf;inf;inf;0
2020;USD;Approx cost from WEO 2019;Oil;Stock;SUP-Stock;41,18;inf;inf;inf;0
2020;USD;;Slack;Stock;SUP-Stock;999;inf;inf;inf;0
2020;USD;;Solar;SupIm;SUP-Intermittent;0;inf;inf;1;0
2020;USD;SUTD assumptions;Waste_heat;Stock;SUP-Stock;3,02;inf;inf;inf;0
2020;USD;;WindOn;SupIm;SUP-Intermittent;0;inf;inf;1;0
2020;USD;ASEAN LCOE report p.68, 60% moisture content, https://www.world-nuclear.org/information-library/facts-and-figures/heat-values-of-various-fuels.aspx;Bioenergy;Stock;SUP-Stock;10,02;inf;inf;inf;0
2020;USD;;Hydro;SupIm;SUP-Intermittent;0;inf;inf;;0
2025;USD;;CO2;Env;ENV;0;inf;inf;inf;0
2025;USD;Approx cost from WEO 2019, heat rate from https://www.world-nuclear.org/information-library/facts-and-figures/heat-values-of-various-fuels.aspx;Coal;Stock;SUP-Stock;12,75;inf;inf;inf;0
2025;USD;;Elec;Demand;DEM;;;;;0
