year;Process/Storage;Direction;Commodity;ratio;ratio-min;source
2013;Battery_2013;In;Elec;0,9;;unclear
2013;Battery_2013;Out;Elec;0,9;;unclear
2013;Bioenergy_2013;In;Bioenergy;2,94;;ETRI 2014 p.70
2013;Bioenergy_2013;Out;Elec;1;;ETRI 2014 p.70
2020;Bioenergy_2020;In;Bioenergy;2,86;;ETRI 2014 p.70
2020;Bioenergy_2020;Out;Elec;1;;ETRI 2014 p.70
2030;Bioenergy_2030;In;Bioenergy;2,78;;ETRI 2014 p.70
2030;Bioenergy_2030;Out;Elec;1;;ETRI 2014 p.70
2040;Bioenergy_2040;In;Bioenergy;2,63;;ETRI 2014 p.70
2040;Bioenergy_2040;Out;Elec;1;;ETRI 2014 p.70
2050;Bioenergy_2050;In;Bioenergy;2,63;;ETRI 2014 p.70
2050;Bioenergy_2050;Out;Elec;1;;ETRI 2014 p.70
2016;Bioenergy_2016;In;Bioenergy;2,9;;lin interpolation of ETRI 2014 p.70
2016;Bioenergy_2016;Out;Elec;1;;lin interpolation of ETRI 2014 p.70
2025;Bioenergy_2025;In;Bioenergy;2,82;;lin interpolation of ETRI 2014 p.70
2025;Bioenergy_2025;Out;Elec;1;;lin interpolation of ETRI 2014 p.70
2035;Bioenergy_2035;In;Bioenergy;2,71;;lin interpolation of ETRI 2014 p.70
2035;Bioenergy_2035;Out;Elec;1;;lin interpolation of ETRI 2014 p.70
2037;Bioenergy_2037;In;Bioenergy;2,67;;lin interpolation of ETRI 2014 p.70
2037;Bioenergy_2037;Out;Elec;1;;lin interpolation of ETRI 2014 p.70
2013;Coal_2013;In;Coal;2,22;;ETRI 2014 p.42
2013;Coal_2013;Out;CO2;0,89;;ETRI 2014 p.42
2013;Coal_2013;Out;Elec;1;;ETRI 2014 p.42
2020;Coal_2020;In;Coal;2,17;;ETRI 2014 p.42
2020;Coal_2020;Out;CO2;0,88;;ETRI 2014 p.42
2020;Coal_2020;Out;Elec;1;;ETRI 2014 p.42
2030;Coal_2030;In;Coal;2,08;;ETRI 2014 p.42
2030;Coal_2030;Out;CO2;0,84;;ETRI 2014 p.42
2030;Coal_2030;Out;Elec;1;;ETRI 2014 p.42
2040;Coal_2040;In;Coal;2,08;;ETRI 2014 p.42
2040;Coal_2040;Out;CO2;0,84;;ETRI 2014 p.42
2040;Coal_2040;Out;Elec;1;;ETRI 2014 p.42
2050;Coal_2050;In;Coal;2,08;;ETRI 2014 p.42
2050;Coal_2050;Out;CO2;0,84;;ETRI 2014 p.42
2050;Coal_2050;Out;Elec;1;;ETRI 2014 p.42
2016;Coal_2016;In;Coal;2,22;;lin interpolation of ETRI 2014 p.42
2016;Coal_2016;Out;CO2;0,89;;lin interpolation of ETRI 2014 p.42
2016;Coal_2016;Out;Elec;1;;lin interpolation of ETRI 2014 p.42
2025;Coal_2025;In;Coal;2,13;;lin interpolation of ETRI 2014 p.42
2025;Coal_2025;Out;CO2;0,86;;lin interpolation of ETRI 2014 p.42
2025;Coal_2025;Out;Elec;1;;lin interpolation of ETRI 2014 p.42
2035;Coal_2035;In;Coal;2,08;;lin interpolation of ETRI 2014 p.42
2035;Coal_2035;Out;CO2;0,84;;lin interpolation of ETRI 2014 p.42
2035;Coal_2035;Out;Elec;1;;lin interpolation of ETRI 2014 p.42
2037;Coal_2037;In;Coal;2,08;;lin interpolation of ETRI 2014 p.42
2037;Coal_2037;Out;CO2;0,84;;lin interpolation of ETRI 2014 p.42
2037;Coal_2037;Out;Elec;1;;lin interpolation of ETRI 2014 p.42
2013;Gas_CC_2013;In;Gas;1,72;;ETRI 2014 p.40
2013;Gas_CC_2013;Out;CO2;0,37;;ETRI 2014 p.40
2013;Gas_CC_2013;Out;Elec;1;;ETRI 2014 p.40
2020;Gas_CC_2020;In;Gas;1,67;;ETRI 2014 p.40
2020;Gas_CC_2020;Out;CO2;0,36;;ETRI 2014 p.40
2020;Gas_CC_2020;Out;Elec;1;;ETRI 2014 p.40
2030;Gas_CC_2030;In;Gas;1,61;;ETRI 2014 p.40
2030;Gas_CC_2030;Out;CO2;0,35;;ETRI 2014 p.40
2030;Gas_CC_2030;Out;Elec;1;;ETRI 2014 p.40
2040;Gas_CC_2040;In;Gas;1,61;;ETRI 2014 p.40
2040;Gas_CC_2040;Out;CO2;0,35;;ETRI 2014 p.40
2040;Gas_CC_2040;Out;Elec;1;;ETRI 2014 p.40
2050;Gas_CC_2050;In;Gas;1,59;;ETRI 2014 p.40
2050;Gas_CC_2050;Out;CO2;0,34;;ETRI 2014 p.40
2050;Gas_CC_2050;Out;Elec;1;;ETRI 2014 p.40
2016;Gas_CC_2016;In;Gas;1,69;;lin interpolation of ETRI 2014 p.40
2016;Gas_CC_2016;Out;CO2;0,37;;lin interpolation of ETRI 2014 p.40
2016;Gas_CC_2016;Out;Elec;1;;lin interpolation of ETRI 2014 p.40
2025;Gas_CC_2025;In;Gas;1,64;;lin interpolation of ETRI 2014 p.40
2025;Gas_CC_2025;Out;CO2;0,355;;lin interpolation of ETRI 2014 p.40
2025;Gas_CC_2025;Out;Elec;1;;lin interpolation of ETRI 2014 p.40
2035;Gas_CC_2035;In;Gas;1,61;;lin interpolation of ETRI 2014 p.40
2035;Gas_CC_2035;Out;CO2;0,35;;lin interpolation of ETRI 2014 p.40
2035;Gas_CC_2035;Out;Elec;1;;lin interpolation of ETRI 2014 p.40
2037;Gas_CC_2037;In;Gas;1,61;;lin interpolation of ETRI 2014 p.40
2037;Gas_CC_2037;Out;CO2;0,35;;lin interpolation of ETRI 2014 p.40
2037;Gas_CC_2037;Out;Elec;1;;lin interpolation of ETRI 2014 p.40
2013;Gas_GT_2013;In;Gas;2,5;;ETRI 2014 p.39
2013;Gas_GT_2013;Out;CO2;0,575;;ETRI 2014 p.39
2013;Gas_GT_2013;Out;Elec;1;;ETRI 2014 p.39
2020;Gas_GT_2020;In;Gas;2,5;;ETRI 2014 p.39
2020;Gas_GT_2020;Out;CO2;0,575;;ETRI 2014 p.39
2020;Gas_GT_2020;Out;Elec;1;;ETRI 2014 p.39
2030;Gas_GT_2030;In;Gas;2,33;;ETRI 2014 p.39
2030;Gas_GT_2030;Out;CO2;0,535;;ETRI 2014 p.39
2030;Gas_GT_2030;Out;Elec;1;;ETRI 2014 p.39
2040;Gas_GT_2040;In;Gas;2,27;;ETRI 2014 p.39
2040;Gas_GT_2040;Out;CO2;0,525;;ETRI 2014 p.39
2040;Gas_GT_2040;Out;Elec;1;;ETRI 2014 p.39
2050;Gas_GT_2050;In;Gas;2,22;;ETRI 2014 p.39
2050;Gas_GT_2050;Out;CO2;0,51;;ETRI 2014 p.39
2050;Gas_GT_2050;Out;Elec;1;;ETRI 2014 p.39
2016;Gas_GT_2016;In;Gas;2,5;;lin interpolation of ETRI 2014 p.39
2016;Gas_GT_2016;Out;CO2;0,575;;lin interpolation of ETRI 2014 p.39
2016;Gas_GT_2016;Out;Elec;1;;lin interpolation of ETRI 2014 p.39
2025;Gas_GT_2025;In;Gas;2,42;;lin interpolation of ETRI 2014 p.39
2025;Gas_GT_2025;Out;CO2;0,555;;lin interpolation of ETRI 2014 p.39
2025;Gas_GT_2025;Out;Elec;1;;lin interpolation of ETRI 2014 p.39
2035;Gas_GT_2035;In;Gas;2,3;;lin interpolation of ETRI 2014 p.39
2035;Gas_GT_2035;Out;CO2;0,53;;lin interpolation of ETRI 2014 p.39
2035;Gas_GT_2035;Out;Elec;1;;lin interpolation of ETRI 2014 p.39
2037;Gas_GT_2037;In;Gas;2,285;;lin interpolation of ETRI 2014 p.39
2037;Gas_GT_2037;Out;CO2;0,528;;lin interpolation of ETRI 2014 p.39
2037;Gas_GT_2037;Out;Elec;1;;lin interpolation of ETRI 2014 p.39
2013;Gas_IC_2013;In;Gas;2,11;;Average of Gas_CC and Gas_GT
2013;Gas_IC_2013;Out;CO2;0,4725;;Average of Gas_CC and Gas_GT
2013;Gas_IC_2013;Out;Elec;1;;Average of Gas_CC and Gas_GT
2020;Gas_IC_2020;In;Gas;2,085;;Average of Gas_CC and Gas_GT
2020;Gas_IC_2020;Out;CO2;0,4675;;Average of Gas_CC and Gas_GT
2020;Gas_IC_2020;Out;Elec;1;;Average of Gas_CC and Gas_GT
2030;Gas_IC_2030;In;Gas;1,97;;Average of Gas_CC and Gas_GT
2030;Gas_IC_2030;Out;CO2;0,4425;;Average of Gas_CC and Gas_GT
2030;Gas_IC_2030;Out;Elec;1;;Average of Gas_CC and Gas_GT
2040;Gas_IC_2040;In;Gas;1,94;;Average of Gas_CC and Gas_GT
2040;Gas_IC_2040;Out;CO2;0,4375;;Average of Gas_CC and Gas_GT
2040;Gas_IC_2040;Out;Elec;1;;Average of Gas_CC and Gas_GT
2050;Gas_IC_2050;In;Gas;1,905;;Average of Gas_CC and Gas_GT
2050;Gas_IC_2050;Out;CO2;0,425;;Average of Gas_CC and Gas_GT
2050;Gas_IC_2050;Out;Elec;1;;Average of Gas_CC and Gas_GT
2016;Gas_IC_2016;In;Gas;2,095;;Average of Gas_CC and Gas_GT
2016;Gas_IC_2016;Out;CO2;0,4725;;Average of Gas_CC and Gas_GT
2016;Gas_IC_2016;Out;Elec;1;;Average of Gas_CC and Gas_GT
2025;Gas_IC_2025;In;Gas;2,03;;Average of Gas_CC and Gas_GT
