year;Process;currency;source;cap-lo;cap-up;max-grad;min-fraction;inv-cost;fix-cost;var-cost;start-cost;wacc;depreciation;lifetime;reliability;cap-credit;area-per-cap;act-up;act-lo;on-off;reserve-cost;ru;rd;rumax;rdmax;detail;lambda;heatmax;maxdeltaT;heatupcost;su;sd;pdt;hotstart;pot;pretemp;preheat;prestate;prepow;precaponline;year_mu;year_stdev
2013;Bioenergy;EUR;ETRI 2014 p.70;0;0;1,2;0;2890000;63580;3,5;0;0,07;25;25;0,925;1;0;1;0;1;0;0,05;0,05;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;2010;0,2
2020;Bioenergy;EUR;ETRI 2014 p.70;0;0;1,2;0;2620000;57640;3,5;0;0,07;25;25;0,925;1;0;1;0;1;0;0,05;0,05;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;2010;0,2
2030;Bioenergy;EUR;ETRI 2014 p.70;0;0;1,2;0;2370000;52140;3,5;0;0,07;25;25;0,925;1;0;1;0;1;0;0,05;0,05;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;2010;0,2
2040;Bioenergy;EUR;ETRI 2014 p.70;0;0;1,2;0;2150000;47300;3,5;0;0,07;25;25;0,925;1;0;1;0;1;0;0,05;0,05;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;2010;0,2
2050;Bioenergy;EUR;ETRI 2014 p.70;0;0;1,2;0;1950000;42900;3,5;0;0,07;25;25;0,925;1;0;1;0;1;0;0,05;0,05;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;2010;0,2
2016;Bioenergy;EUR;lin interpolation of ETRI 2014 p.70;0;0;1,2;0;2774286;61034;3,5;0;0,07;25;25;0,925;1;0;1;0;1;0;0,05;0,05;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;2010;0,2
2025;Bioenergy;EUR;lin interpolation of ETRI 2014 p.70;0;0;1,2;0;2495000;54890;3,5;0;0,07;25;25;0,925;1;0;1;0;1;0;0,05;0,05;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;2010;0,2
2035;Bioenergy;EUR;lin interpolation of ETRI 2014 p.70;0;0;1,2;0;2260000;49720;3,5;0;0,07;25;25;0,925;1;0;1;0;1;0;0,05;0,05;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;2010;0,2
2037;Bioenergy;EUR;lin interpolation of ETRI 2014 p.70;0;0;1,2;0;2216000;48752;3,5;0;0,07;25;25;0,925;1;0;1;0;1;0;0,05;0,05;1;1;1;0;1;1;0;1;1;0;0;0;1;0;1;0;0;2010;0,2
2013;Coal;EUR;ETRI 2014 p.42;0;0;0,6;0;1600000;40000;3,6;0;0,07;40;40;0,925;1;0;1;0,4;1;0;0,03;0,03;1;1;5;0,06;0,15;1;110;0,5;0,5;0;0;0;1;0;1;0;0;2010;0,2
