year;Storage;currency;source;ep-ratio;cap-up-c;cap-up-p;inv-cost-p;inv-cost-c;fix-cost-p;fix-cost-c;var-cost-p;var-cost-c;lifetime;depreciation;wacc;init;var-cost-pi;var-cost-po;act-lo-pi;act-up-pi;act-lo-po;act-up-po;act-lo-c;act-up-c;precont;prepowin;prepowout;ru;rd;rumax;rdmax;seasonal;ctr;discharge;year_mu;year_stdev
2015_old;Battery;EUR;unclear;6;inf;inf;797.500;687.500;9.375;0;0;0;10;10;0,07;0,5;0;0;0;1;0;1;0;1;0,5;0;0;0,1;0,1;1;1;0;1;0;2015;0,3
2015_old;PumSt;EUR;unclear;120;0;0;275.000;0;4.125;0;0;0;60;60;0,07;0,5;0;0;0;1;0;1;0;1;0,5;0;0;0,1;0,1;1;1;0;1;0;1980;5
2015_old;Storage_ST;EUR;unclear;6;0;0;797.500;687.500;9.375;0;0;0;10;10;0,07;0,5;0;0;0;1;0;1;0;1;0,5;0;0;0,1;0,1;1;1;0;1;0;2015;0,3
2020_old;Battery;EUR;unclear;6;inf;inf;682.500;450.000;9.375;0;0;0;10;10;0,07;0,5;0;0;0;1;0;1;0;1;0,5;0;0;0,1;0,1;1;1;0;1;0;2015;0,3
2020_old;PumSt;EUR;unclear;120;0;0;275.000;0;4.125;0;0;0;60;60;0,07;0,5;0;0;0;1;0;1;0;1;0,5;0;0;0,1;0,1;1;1;0;1;0;1980;5
2020_old;Storage_ST;EUR;unclear;6;0;0;682.500;450.000;9.375;0;0;0;10;10;0,07;0,5;0;0;0;1;0;1;0;1;0,5;0;0;0,1;0,1;1;1;0;1;0;2015;0,3
2030_old;Battery;EUR;unclear;6;inf;inf;600.000;300.000;9.375;0;0;0;10;10;0,07;0,5;0;0;0;1;0;1;0;1;0,5;0;0;0,1;0,1;1;1;0;1;0;2015;0,3
2030_old;PumSt;EUR;unclear;120;0;0;275.000;0;4.125;0;0;0;60;60;0,07;0,5;0;0;0;1;0;1;0;1;0,5;0;0;0,1;0,1;1;1;0;1;0;1980;5
2030_old;Storage_ST;EUR;unclear;6;0;0;600.000;300.000;9.375;0;0;0;10;10;0,07;0,5;0;0;0;1;0;1;0;1;0,5;0;0;0,1;0,1;1;1;0;1;0;2015;0,3
2040_old;Battery;EUR;unclear;6;inf;inf;550.000;275.000;9.375;0;0;0;10;10;0,07;0,5;0;0;0;1;0;1;0;1;0,5;0;0;0,1;0,1;1;1;0;1;0;2015;0,3
2040_old;PumSt;EUR;unclear;120;0;0;275.000;0;4.125;0;0;0;60;60;0,07;0,5;0;0;0;1;0;1;0;1;0,5;0;0;0,1;0,1;1;1;0;1;0;1980;5
2040_old;Storage_ST;EUR;unclear;6;0;0;550.000;275.000;9.375;0;0;0;10;10;0,07;0,5;0;0;0;1;0;1;0;1;0,5;0;0;0,1;0,1;1;1;0;1;0;2015;0,3
2050_old;Battery;EUR;unclear;6;inf;inf;500.000;250.000;9.375;0;0;0;10;10;0,07;0,5;0;0;0;1;0;1;0;1;0,5;0;0;0,1;0,1;1;1;0;1;0;2015;0,3
2050_old;PumSt;EUR;unclear;120;0;0;275.000;0;4.125;0;0;0;60;60;0,07;0,5;0;0;0;1;0;1;0;1;0,5;0;0;0,1;0,1;1;1;0;1;0;1980;5
2050_old;Storage_ST;EUR;unclear;6;0;0;500.000;250.000;9.375;0;0;0;10;10;0,07;0,5;0;0;0;1;0;1;0;1;0,5;0;0;0,1;0,1;1;1;0;1;0;2015;0,3
2013;Battery;EUR;ETRI 2014 p. 91;;inf;inf;390.000;752.000;5.460;0;0;2,6;10;10;0,07;0,5;0;0;0;1;0;1;0;1;0,5;0;0;0,1;0,1;1;1;0;1;0;2015;0,3
2020;Battery;EUR;ETRI 2014 p. 91;;inf;inf;130.000;255.000;1.820;0;0;2,6;10;10;0,07;0,5;0;0;0;1;0;1;0;1;0,5;0;0;0,1;0,1;1;1;0;1;0;2015;0,3
2030;Battery;EUR;ETRI 2014 p. 91;;inf;inf;110.000;250.000;1.540;0;0;2,6;10;10;0,07;0,5;0;0;0;1;0;1;0;1;0,5;0;0;0,1;0,1;1;1;0;1;0;2015;0,3
2040;Battery;EUR;ETRI 2014 p. 91;;inf;inf;110.000;248.700;1.540;0;0;2,6;10;10;0,07;0,5;0;0;0;1;0;1;0;1;0,5;0;0;0,1;0,1;1;1;0;1;0;2015;0,3
2050;Battery;EUR;ETRI 2014 p. 91;;inf;inf;110.000;245.500;1.540;0;0;2,6;10;10;0,07;0,5;0;0;0;1;0;1;0;1;0,5;0;0;0,1;0,1;1;1;0;1;0;2015;0,3
2016;Battery;EUR;interpolation of ETRI 2014 p.91;;inf;inf;260.000;500.000;3.640;0;0;2,6;10;10;0,07;0,5;0;0;0;1;0;1;0;1;0,5;0;0;0,1;0,1;1;1;0;1;0;2015;0,3
2025;Battery;EUR;interpolation of ETRI 2014 p.92;;inf;inf;120.000;252.500;1.680;0;0;2,6;10;10;0,07;0,5;0;0;0;1;0;1;0;1;0,5;0;0;0,1;0,1;1;1;0;1;0;2015;0,3
2035;Battery;EUR;interpolation of ETRI 2014 p.93;;inf;inf;110.000;249.200;1.540;0;0;2,6;10;10;0,07;0,5;0;0;0;1;0;1;0;1;0,5;0;0;0,1;0,1;1;1;0;1;0;2015;0,3
2037;Battery;EUR;interpolation of ETRI 2014 p.94;;inf;inf;110.000;247.500;1.540;0;0;2,6;10;10;0,07;0,5;0;0;0;1;0;1;0;1;0,5;0;0;0,1;0,1;1;1;0;1;0;2015;0,3
