Type;length_limit_km;year;source;currency;Commodity;eff_per_1000km;inv-cost-fix;inv-cost-length;fix-cost-length;var-cost;cap-lo;cap-up;cap-credit;wacc;depreciation;act-lo;act-up;angle-up;PSTmax
AC_OHL;inf;2013;ETRI 2014 p. 64;EUR;Elec;0,92;0;1600;24;0;0;inf;0,2;0,07;60;0;1;45;0
AC_OHL;inf;2020;ETRI 2014 p. 64;EUR;Elec;0,92;0;1130;16,95;0;0;inf;0,2;0,07;60;0;1;45;0
AC_OHL;inf;2030;ETRI 2014 p. 64;EUR;Elec;0,92;0;1020;15,3;0;0;inf;0,2;0,07;60;0;1;45;0
AC_OHL;inf;2040;ETRI 2014 p. 64;EUR;Elec;0,92;0;960;14,4;0;0;inf;0,2;0,07;60;0;1;45;0
AC_OHL;inf;2050;ETRI 2014 p. 64;EUR;Elec;0,92;0;900;13,5;0;0;inf;0,2;0,07;60;0;1;45;0
AC_OHL;inf;2016;lin interpolation of ETRI 2014 p. 64;EUR;Elec;0,92;0;1400;21;0;0;inf;0,2;0,07;60;0;1;45;0
AC_OHL;inf;2025;lin interpolation of ETRI 2014 p. 65;EUR;Elec;0,92;0;1075;16,125;0;0;inf;0,2;0,07;60;0;1;45;0
AC_OHL;inf;2035;lin interpolation of ETRI 2014 p. 66;EUR;Elec;0,92;0;990;14,85;0;0;inf;0,2;0,07;60;0;1;45;0
AC_OHL;inf;2037;lin interpolation of ETRI 2014 p. 67;EUR;Elec;0,92;0;980;14,7;0;0;inf;0,2;0,07;60;0;1;45;0
AC_OHL;inf;2045;lin interpolation of ETRI 2014 p. 68;EUR;Elec;0,92;0;930;13,95;0;0;inf;0,2;0,07;60;0;1;45;0
AC_OHL;150;2015_old;;;Elec;0,92;0;300;42;0;0;inf;0,2;0,07;60;0;1;45;0
AC_OHL;inf;2015_old;;;Elec;0,92;-70000;770;42;0;0;inf;0,2;0,07;60;0;1;45;0
AC_CAB;150;2015_old;;;Elec;0,9;0;1200;21;0;0;inf;0,2;0,07;40;0;1;45;0
AC_CAB;inf;2015_old;;;Elec;0,9;-280000;3080;21;0;0;inf;0,2;0,07;40;0;1;45;0
DC_OHL;inf;2015_old;;;Elec;0,95;160000;288;42;0;0;inf;0,2;0,07;60;0;1;45;0
DC_CAB;inf;2015_old;;;Elec;0,95;160000;1152;21;0;0;inf;0,2;0,07;40;0;1;45;0
AC_OHL;150;2016_old;;;Elec;0,92;0;300;42;0;0;inf;0,2;0,07;60;0;1;45;0
AC_OHL;inf;2016_old;;;Elec;0,92;-70000;770;42;0;0;inf;0,2;0,07;60;0;1;45;0
AC_CAB;150;2016_old;;;Elec;0,9;0;1200;21;0;0;inf;0,2;0,07;40;0;1;45;0
AC_CAB;inf;2016_old;;;Elec;0,9;-280000;3080;21;0;0;inf;0,2;0,07;40;0;1;45;0
DC_OHL;inf;2016_old;;;Elec;0,95;160000;288;42;0;0;inf;0,2;0,07;60;0;1;45;0
DC_CAB;inf;2016_old;;;Elec;0,95;160000;1152;21;0;0;inf;0,2;0,07;40;0;1;45;0
AC_OHL;150;2020_old;;;Elec;0,92;0;300;42;0;0;inf;0,2;0,07;60;0;1;45;0
AC_OHL;inf;2020_old;;;Elec;0,92;-70000;770;42;0;0;inf;0,2;0,07;60;0;1;45;0
AC_CAB;150;2020_old;;;Elec;0,9;0;1200;21;0;0;inf;0,2;0,07;40;0;1;45;0
AC_CAB;inf;2020_old;;;Elec;0,9;-280000;3080;21;0;0;inf;0,2;0,07;40;0;1;45;0
DC_OHL;inf;2020_old;;;Elec;0,95;160000;288;42;0;0;inf;0,2;0,07;60;0;1;45;0
